classification,path,size,sha256,is_symlink,valid_ooxml_zip,pages,words,characters,creator,created,modified,title,unique_citation_count,total_citation_occurrences,log_reference_count
NOT_REF06,/Users/martinotten/.claude/projects/-Users-martinotten/ef60080b-4f65-4fbd-b3e3-0e0844e26445/outputs/DAV_Antragsregister_226.docx,42425,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/.claude/prompts/LIBRA_MASTERPROMPT_WPNO_VOLLFASSUNG_v2_4_ARCHIV.docx,74038,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0060_01_Klage_LathamWatkins__643_Anlage K 40_zu SS 13.04.23_Mail WPNO an H&R.docx,13653,,False,False,,,,,,,,0,0,0
NOT_REF06,"/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0070_02_Antwort_WirtzKraneis__543_ Anlage B 111_Rechnung DMP_ 28.07.2021, Aufträge 10-20, 10-21, 50-20, ... Kopie 2pdf.docx",10593,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0081_02_Antwort_WirtzKraneis__435_Anlage B 51_Anlagenverzeichnis Klagererwiederung 23.09.2022.docx,9006,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0110_02_Antwort_WirtzKraneis__187_Anlage_B_117_csv Datei.docx,551607,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0148_02_Antwort_WirtzKraneis__401_Anlage_B_43_Mail an Dracoon_Wiederherstellung Unterlagen.docx,45306,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0164_02_Antwort_WirtzKraneis__430_B 49_Mails MO an Sehnert.docx,110841,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0165_02_Antwort_WirtzKraneis__431_B 49_Mails MO_Gomoll_November_2021.docx,781974,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0166_02_Antwort_WirtzKraneis__432_B 49_Mails_MO_Pritsch_November_2021.docx,672583,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0167_02_Antwort_WirtzKraneis__433_B 50 Mails MO an UG_Dez. 21.docx,33107,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0169_02_Antwort_WirtzKraneis__443_Anlage B 56_Rechnung: 2024_15 2022-34-100 Kopie 2.docx,166258,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0253_02_Antwort_WirtzKraneis__553_Anlage B110_Schnipsel_Rechnungstellung InfoTech-KGaA.docx,14513,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0418_02_Antwort_WirtzKraneis__343_Anlage_B_34Liste Bahnfahrten MO 2021.docx,15648052,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0431_02_Antwort_WirtzKraneis__356_Anlage_B_5c:96.Mails ZV_und H&R zu LOGA.docx,1059373,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0432_02_Antwort_WirtzKraneis__357_Anlage_B_6.Excel Rollen und Berechtigung.docx,567533,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0434_02_Antwort_WirtzKraneis__359_Anlage_B_6a.Loga Security Tool von ZV.docx,805288,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0436_02_Antwort_WirtzKraneis__361_Anlage_B_7.Mail Pritsch.docx,25258,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0438_02_Antwort_WirtzKraneis__363_Anlage_B_7a.Mail Pritsch.docx,291138,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0457_02_Antwort_WirtzKraneis__437_Anlage_B_53_Kontoauszüge.docx,606052,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0459_02_Antwort_WirtzKraneis__439_Anlagenkonvolut_B_52_.docx,446466,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/HR_Birgita_Reihenfolge/0643_04_Uebrige_Dokumente__711_Zeugenaussage_ZV_mit Zeitangabe.docx,42574,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/Milchhof_Entpackt/110_Darlehensvertrag SZK 200 TE.docx,23011,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/Milchhof_Entpackt/140-148_2024_Kontoauszüge DKB/143_042024.docx,15149,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/Milchhof_Entpackt/155_Milchhof 26082024-Handelsregister.docx,10889,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/Milchhof_Entpackt/156_Milchhof 30122024-Handelsregister.docx,13384,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/Milchhof_Entpackt/206-247_Verträge Darlehn Raiba/243_Kreditvertrag 072025.docx,132386,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/Milchhof_Entpackt/20_Milchhof 26082024-Handelsregister.docx,10889,,False,False,,,,,,,,0,0,0
NOT_REF06,/Users/martinotten/Desktop/Milchhof_Entpackt/21_Milchhof 30122024-Handelsregister.docx,13383,,False,False,,,,,,,,0,0,0
