freeze_id,source_path,size_bytes,sha256_before,sha256_after,hash_match
WIP-001,memory/attestation_v3_ed25519_pubkey.pem,113,04c3e4e17c8b6c3df953df6a89dae1adbdacd30f5af8f48e8a2a813ca4e4e3c4,04c3e4e17c8b6c3df953df6a89dae1adbdacd30f5af8f48e8a2a813ca4e4e3c4,true
WIP-002,reports/S11_CONTROL_PLANE_V3_CANDIDATE_STATUS.md,619,1c0c7bffb2ea31e38274588f32e1130e37c223dd22424a4805e6fe1b007ff64a,1c0c7bffb2ea31e38274588f32e1130e37c223dd22424a4805e6fe1b007ff64a,true
WIP-003,reports/S11_CONTROL_PLANE_V3_COUNCIL_AND_TRIBUNAL.csv,1287,ddafeb32a1378d91d753fc8b51a89a0a8571def29085b18d4b2f038bb25d3c7c,ddafeb32a1378d91d753fc8b51a89a0a8571def29085b18d4b2f038bb25d3c7c,true
WIP-004,reports/S11_CONTROL_PLANE_V3_COUNCIL_AND_TRIBUNAL.md,772,eebd2d16b01e7d22a2661e1f8116df6e790e92dc94435e471469c2708dd6ea94,eebd2d16b01e7d22a2661e1f8116df6e790e92dc94435e471469c2708dd6ea94,true
WIP-005,reports/S11_CONTROL_PLANE_V3_FINDING_REGISTER.csv,4317,920205f9545f43a2df84859f9bf80206cf990b2e768b95a10dc53617f2513ec9,920205f9545f43a2df84859f9bf80206cf990b2e768b95a10dc53617f2513ec9,true
WIP-006,reports/S11_CONTROL_PLANE_V3_FINDING_REGISTER.md,406,5eaa4ddbb703cb13b0926919edeea8d0ab1a6705da41da133e9790a75c98e0d5,5eaa4ddbb703cb13b0926919edeea8d0ab1a6705da41da133e9790a75c98e0d5,true
WIP-007,reports/S11_CONTROL_PLANE_V3_TRUST_ROOT_DESIGN.md,1900,1f21ff95d34ba3a227415e3469ba8ca358b4f049becffcf76c730eb2f196e867,1f21ff95d34ba3a227415e3469ba8ca358b4f049becffcf76c730eb2f196e867,true
WIP-008,scripts/s11_attestation_v3.py,13848,622351884e7cf5977e66d09af7a0ce73e464afaf42e45c040d56d23a9451b16b,622351884e7cf5977e66d09af7a0ce73e464afaf42e45c040d56d23a9451b16b,true
WIP-009,scripts/s11_content_state_gate.py,5673,83c64c011640380a9e6040158c9d0e16ad1df67afd2f9199e3f5b9e0e9838605,83c64c011640380a9e6040158c9d0e16ad1df67afd2f9199e3f5b9e0e9838605,true
WIP-010,scripts/s11_validated_commit_v3.py,6253,3ab4b39e0b20069c1449e8315256c271a962ed4f215985ef2330bfbbdf6d52fa,3ab4b39e0b20069c1449e8315256c271a962ed4f215985ef2330bfbbdf6d52fa,true
WIP-011,tests/test_s11_control_plane_v3.py,7507,46d602a2b5380f5417c98a767fe649917617a79ac223b4c175c200a0a1e45b85,46d602a2b5380f5417c98a767fe649917617a79ac223b4c175c200a0a1e45b85,true
