relative_path,size_bytes,sha256,artifact_role,required
S11_PROJECT_HANDOFF_MASTER.md,4408,25cbf6edc014ee985f09cfd87910b13b1ce1a63f5934684edfef7d98505e527b,P0_AUTHORITATIVE_HANDOFF,yes
S11_PROJECT_STATE.json,1317,6ee04805395638409f8929ff647e19035bc030bf2faad4aba8a67b1bdbbea337,P0_AUTHORITATIVE_HANDOFF,yes
S11_CROSS_MODEL_FINDINGS_REGISTER.csv,5297,00066473959210bf5ffd88c2fbbf483154e8591483f5b54523f1349b5eb7c19b,P0_AUTHORITATIVE_HANDOFF,yes
S11_EVIDENCE_INDEX.md,5084,e991e3c86078b56cbb3390665db33f7a910142fd026b853ac9b84197b2fd7ad7,P0_AUTHORITATIVE_HANDOFF,yes
S11_FINAL_CLAUDE_FABLE5_CONTROL_PLANE_V3_PROMPT.md,21362,9bc662b50cbaf1bc9d948494fd464f619ad8650193b41d51ab7a540f6a271d2e,P0_AUTHORITATIVE_HANDOFF,yes
S11_NEW_CHAT_BOOTSTRAP.md,1343,155ed79c36fea70e83dd054fcfe3cb8912686dc6a39eef49be0f0f11e9773854,P0_AUTHORITATIVE_HANDOFF,yes
S11_NEW_PROJECT_BOOTSTRAP_V2.md,1016,74b69c895aa90634d39c6f29b64021fca1b2c4c8fc04b9c22421d9c609cdd8b3,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_HANDOFF_PACKAGE_2026-07-12.zip,144525,09222a06a237fe768a28f713f1d6cac6671f5e54dafd0638b36fef56259bd462,P0_AUTHORITATIVE_HANDOFF,yes
S11_PROJECT_TRANSFER_REQUIRED_ASSETS.csv,24219,23a59931754b2bdef0a97695cefc6e4129ab2591d7d9640cad726a7beb8f4385,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_TRANSFER_CRITICAL_DECISIONS.csv,4100,1216a780cc7cfe7d80e90d1a799ad8bb51bc352371c8fac16a578b55984c2ad2,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_TRANSFER_DUAL_COUNCIL_QC_MASTER.md,1988,ca26cb341bde8a82ffff4fdda254723784c42b83e45d920842e6194b0475f24d,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_TRANSFER_COUNCIL_A_PROMPT.md,4455,ac205be6e994c9909f0100156afee4725637b0bb8738b7facc0b90fda9e32818,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_TRANSFER_COUNCIL_B_CLAUDE_PROMPT.md,2752,6669aba9d8580670911d6a054b49dff3db04634a0425c5792f3ac4ddc03a7faf,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_TRANSFER_EVIDENCE_TRIBUNAL_PROMPT.md,2518,2a1e12f285daa1fcdaa9ffbc03a8e638c87111807399ec6a7a61b3f4ba43d6e4,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_TRANSFER_QC_PACKAGE_MANIFEST.csv,1469,573b990cbf2c54b236e6ba31e43c4c8ec8c65eaf8dd539f5d1f06f39e5910f50,TRANSFER_QC_CONTRACT,yes
S11_PROJECT_TRANSFER_DUAL_COUNCIL_QC_PACKAGE.zip,31189,73eea2c058383913e52e2322f39ef7dac950467d4ca1f75a78301e42f028a222,TRANSFER_QC_CONTRACT,yes
S11_CONTROL_PLANE_V3_AUTHORITATIVE_CONTEXT_RECONCILIATION_AND_CONTROLLED_RESUME_PROMPT.md,16883,5aa629d13b3378c36de59d77a19c3a90d1a0b7c2408398f43581b0263f11d43e,SUPPORTING_AUTHORITATIVE_CONTEXT,yes
